image_id,annotation_id,source_image,class,crop_path,x,y,width,height,original_width,original_height,split
0,0,D:\whitevision\data\raw\test\Heavy_Equipment_5947_jpg.rf.002d421925675a89007aa71138edea07.jpg,roller,D:\whitevision\data\crops\roller\0_annot0_roller.jpg,255,188,115,239,640,640,train
1,1,D:\whitevision\data\raw\test\Heavy_Equipment_3269_jpg.rf.003fc9b01abefb3d90a1655cda61112b.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\1_annot1_bulldozer.jpg,0,0,640,631,640,640,test
2,2,D:\whitevision\data\raw\test\Heavy_Equipment_887_jpg.rf.00cba6f7470e9f8ed2ab066c796bc611.jpg,excavator,D:\whitevision\data\crops\excavator\2_annot2_excavator.jpg,152,196,294,211,640,640,train
3,3,D:\whitevision\data\raw\test\Heavy_Equipment_5275_jpg.rf.017832e736d6a565a7a6ae3419a4faa8.jpg,roller,D:\whitevision\data\crops\roller\3_annot3_roller.jpg,212,137,233,224,640,640,train
4,4,D:\whitevision\data\raw\test\Heavy_Equipment_40_jpg.rf.01ce4f7b90290ff221306607abf2d7c1.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\4_annot4_bulldozer.jpg,6,4,634,632,640,640,validation
5,5,D:\whitevision\data\raw\test\Heavy_Equipment_2735_jpg.rf.01e9a186bfd53ddfd4abb7e18fbcdd14.jpg,mobile_crane,D:\whitevision\data\crops\mobile_crane\5_annot5_mobile_crane.jpg,0,102,640,327,640,640,train
6,6,D:\whitevision\data\raw\test\Heavy_Equipment_2661_jpg.rf.01eaa3eb9173122b21fd74fa428ff870.jpg,excavator,D:\whitevision\data\crops\excavator\6_annot6_excavator.jpg,4,0,509,463,640,640,test
6,7,D:\whitevision\data\raw\test\Heavy_Equipment_2661_jpg.rf.01eaa3eb9173122b21fd74fa428ff870.jpg,dump_truck,D:\whitevision\data\crops\dump_truck\6_annot7_dump_truck.jpg,0,253,183,380,640,640,test
7,8,D:\whitevision\data\raw\test\Heavy_Equipment_4827_jpg.rf.0212e55f34e3242930aa2d157c823969.jpg,bulldozer,D:\whitevision\data\crops\bulldozer\7_annot8_bulldozer.jpg,28,42,532,576,640,640,validation
8,9,D:\whitevision\data\raw\test\Heavy_Equipment_4597_jpg.rf.0220a3b244a4e0bd8c324b901a997a8d.jpg,grader,D:\whitevision\data\crops\grader\8_annot9_grader.jpg,25,73,615,530,640,640,train
9,10,D:\whitevision\data\raw\test\Heavy_Equipment_6119_jpg.rf.02877295850e20ae83d2c511d51ef2a2.jpg,roller,D:\whitevision\data\crops\roller\9_annot10_roller.jpg,130,23,314,442,640,640,train
11,11,D:\whitevision\data\raw\test\M_S_concrete_mixer_truck_scania_p370_370_e6_mixer_9m_2015_7110072_jpg.rf.02a9c59108b4f995a0294fee1091d324.jpg,mixer_truck,D:\whitevision\data\crops\mixer_truck\11_annot11_mixer_truck.jpg,66,146,549,447,640,640,train
